Date,Remark,RefNo,ValueDate,Withdrawal,Deposit,Balance,Category
21/10/2024,Contract payment - Training Program,REF727004,21/10/2024,,4741.18,240525.61,Salary
21/10/2024,Internet service payment to DirecTV,REF281998,23/10/2024,196.93,,240328.68,Bills
24/10/2024,Bonus payment - Jan-Mar 2025,REF504103,25/10/2024,,6529.93,246858.61,Salary
25/10/2024,Commission payment,REF600550,27/10/2024,,2621.95,249480.56,Salary
25/10/2024,Highway toll payment,REF610438,25/10/2024,70.09,,249410.47,Transportation
27/10/2024,Overtime payment,REF797436,27/10/2024,,3209.58,252620.05,Salary
27/10/2024,Contract payment - Design Work,REF460980,28/10/2024,,4396.75,257016.8,Salary
28/10/2024,Overtime payment,REF768180,29/10/2024,,5303.47,262320.27,Salary
30/10/2024,Gaming subscription renewal,REF393514,31/10/2024,139.46,,262180.81,Entertainment
30/10/2024,Commission payment,REF372535,31/10/2024,5859.31,,256321.5,Salary
31/10/2024,Fixed deposit creation,REF781683,1/11/2024,,3816.89,260138.39,Investment
31/10/2024,Monthly salary from National Services,REF935023,31/10/2024,,3859.5,263997.89,Salary
1/11/2024,Building insurance annual payment,REF718248,3/11/2024,187.81,,263810.08,Insurance-Home
2/11/2024,Overtime payment,REF705170,3/11/2024,,3724.17,267534.25,Salary
2/11/2024,Commission payment,REF765608,3/11/2024,,5976.07,273510.32,Salary
2/11/2024,Home contents insurance premium,REF152646,4/11/2024,358.09,,273152.23,Insurance-Home
3/11/2024,Housing protection plan payment,REF698169,3/11/2024,388.92,,272763.31,Insurance-Home
5/11/2024,Premium payment for life insurance policy #POL30371,REF123454,6/11/2024,124.97,,272638.34,Insurance-Life
6/11/2024,Premium payment for life insurance policy #POL19650,REF385393,7/11/2024,834.85,,271803.49,Insurance-Life
10/11/2024,Home contents insurance premium,REF594537,10/11/2024,262.23,,271541.26,Insurance-Home
11/11/2024,Monthly salary from Global Solutions,REF469140,13/11/2024,7342,,264199.26,Salary
11/11/2024,Home contents insurance premium,REF112951,11/11/2024,330.02,,263869.24,Insurance-Home
12/11/2024,Business trip insurance coverage,REF763805,14/11/2024,175.99,,263693.25,Insurance-Travel
15/11/2024,Bonus payment - Jan-Mar 2024,REF429481,15/11/2024,,7276.95,270970.2,Salary
15/11/2024,Family health plan premium,REF147544,17/11/2024,633.52,,270336.68,Insurance-Health
17/11/2024,Physiotherapy session payment,REF524915,19/11/2024,109.88,,270226.8,Healthcare
17/11/2024,Premium payment for life insurance policy #POL93015,REF593025,18/11/2024,763.45,,269463.35,Insurance-Life
18/11/2024,International travel coverage plan,REF492305,19/11/2024,80.84,,269382.51,Insurance-Travel
18/11/2024,Lunch payment - Starbucks,REF829676,20/11/2024,67.43,,269315.08,Dining
19/11/2024,Ride-sharing service - Postmates,REF931937,19/11/2024,72.25,,269242.83,Transportation
20/11/2024,Overtime payment,REF933142,21/11/2024,,5683,274925.83,Salary
20/11/2024,Commission payment,REF546160,22/11/2024,,6417.07,281342.9,Salary
20/11/2024,Student loan repayment,REF930292,20/11/2024,620.34,,280722.56,Education
20/11/2024,Mobile phone bill - +1-555-3386,REF410736,20/11/2024,276.39,,280446.17,Bills
20/11/2024,Health insurance premium for H1 2024,REF615705,22/11/2024,525.55,,279920.62,Insurance-Health
24/11/2024,Annual health insurance payment,REF456494,25/11/2024,334.53,,279586.09,Insurance-Health
24/11/2024,Highway toll payment,REF810137,26/11/2024,138.95,,279447.14,Transportation
25/11/2024,Overtime payment,REF693170,26/11/2024,,4600.25,284047.39,Salary
25/11/2024,Water utility bill - January,REF682384,27/11/2024,60.25,,283987.14,Bills
29/11/2024,Student loan repayment,REF437232,1/12/2024,959.39,,283027.75,Education
1/12/2024,Purchase at Target - clothing,REF545369,2/12/2024,125.64,,282902.11,Shopping
3/12/2024,Dividend received from Aviva,REF162281,4/12/2024,,148.61,283050.72,Investment-Dividend received from {company}
4/12/2024,Life coverage plan payment to Aetna,REF747369,5/12/2024,131.19,,282919.53,Insurance-Life
4/12/2024,International travel coverage plan,REF775457,5/12/2024,177.33,,282742.2,Insurance-Travel
5/12/2024,Ride-sharing service - Grubhub,REF912999,6/12/2024,96.82,,282645.38,Transportation
8/12/2024,Commission payment,REF942803,10/12/2024,,3118.34,285763.72,Salary
8/12/2024,Home insurance premium - property at 789 Pine Rd,REF935017,10/12/2024,281.84,,285481.88,Insurance-Home
8/12/2024,Fixed deposit creation,REF662858,9/12/2024,1927.18,,283554.7,Investment
10/12/2024,Contract payment - Software Development,REF218091,11/12/2024,,4180.98,287735.68,Salary
10/12/2024,Lunch payment - Starbucks,REF316334,12/12/2024,143.96,,287591.72,Dining
13/12/2024,Highway toll payment,REF538031,13/12/2024,15.16,,287576.56,Transportation
14/12/2024,Breakfast at Local Diner,REF121253,16/12/2024,170.39,,287406.17,Dining
14/12/2024,Monthly salary from ABC Corporation,REF826461,15/12/2024,,5929.7,293335.87,Salary
14/12/2024,Bonus payment - H1 2024,REF869241,15/12/2024,6128.85,,287207.02,Salary
18/12/2024,Stock purchase - MSFT,REF465924,18/12/2024,3227.51,,283979.51,Investment
20/12/2024,Holiday insurance package,REF581850,20/12/2024,174.45,,283805.06,Insurance-Travel
22/12/2024,Parking fee payment,REF824841,24/12/2024,83.37,,283721.69,Transportation
22/12/2024,Grocery shopping at Albertsons,REF978658,24/12/2024,236.88,,283484.81,Shopping
23/12/2024,Bond purchase - Corporate,REF581101,24/12/2024,,4770.11,288254.92,Investment
23/12/2024,Premium payment for life insurance policy #POL97746,REF822833,23/12/2024,416.78,,287838.14,Insurance-Life
24/12/2024,Electronics purchase - Smartphone,REF324524,25/12/2024,372.09,,287466.05,Shopping
24/12/2024,International travel coverage plan,REF532946,24/12/2024,149.96,,287316.09,Insurance-Travel
24/12/2024,Health insurance premium for Jul-Sep 2024,REF663498,26/12/2024,746.4,,286569.69,Insurance-Health
25/12/2024,Monthly salary from Tech Innovations,REF621174,27/12/2024,,7344.08,293913.77,Salary
27/12/2024,Physiotherapy session payment,REF246690,29/12/2024,465.72,,293448.05,Healthcare
28/12/2024,Mobile phone bill - +1-555-1363,REF130914,28/12/2024,247.28,,293200.77,Bills
28/12/2024,Doctor's consultation fee - Dr. Brown,REF364267,29/12/2024,476.09,,292724.68,Healthcare
29/12/2024,Mutual fund investment - Vanguard Total Market,REF154084,31/12/2024,,986.72,293711.4,Investment
1/1/2025,Taxi fare - Uber,REF618647,2/1/2025,66.8,,293644.6,Transportation
2/1/2025,Home insurance premium - property at 202 Cedar Ln,REF919917,4/1/2025,294.85,,293349.75,Insurance-Home
3/1/2025,Purchase at Target - clothing,REF847414,3/1/2025,425,,292924.75,Shopping
3/1/2025,Auto insurance renewal - policy #POL93015,REF262850,4/1/2025,439.23,,292485.52,Insurance-Motor
3/1/2025,Auto insurance renewal - policy #POL68120,REF744507,5/1/2025,329.39,,292156.13,Insurance-Motor
6/1/2025,Holiday insurance package,REF108766,6/1/2025,183.24,,291972.89,Insurance-Travel
6/1/2025,Health insurance premium for Jan-Mar 2025,REF806984,6/1/2025,744.28,,291228.61,Insurance-Health
8/1/2025,Dinner at Chili's,REF557592,10/1/2025,125.74,,291102.87,Dining
8/1/2025,Theme park entry fees,REF114886,8/1/2025,131.09,,290971.78,Entertainment
8/1/2025,International travel coverage plan,REF839498,10/1/2025,268.51,,290703.27,Insurance-Travel
9/1/2025,Life insurance installment #12 of 48,REF470457,9/1/2025,870.8,,289832.47,Insurance-Life
9/1/2025,Overtime payment,REF556592,11/1/2025,,6030.35,295862.82,Salary
11/1/2025,Home appliance - Air Purifier,REF643536,12/1/2025,158.05,,295704.77,Shopping
11/1/2025,Highway toll payment,REF598077,12/1/2025,39.33,,295665.44,Transportation
14/01/2025,Life coverage plan payment to AXA,REF845361,16/01/2025,810.8,,294854.64,Insurance-Life
14/01/2025,Pharmacy purchase at Rite Aid,REF258839,14/01/2025,599.83,,294254.81,Healthcare
15/01/2025,Monthly salary from XYZ Industries,REF851725,15/01/2025,6857.46,,287397.35,Salary
15/01/2025,Movie tickets at Regal,REF681097,17/01/2025,33,,287364.35,Entertainment
16/01/2025,Bonus payment - H2 2024,REF555538,18/01/2025,,3649.51,291013.86,Salary
18/01/2025,Commission payment,REF314447,18/01/2025,,5774.58,296788.44,Salary
19/01/2025,Gaming subscription renewal,REF995243,19/01/2025,153.81,,296634.63,Entertainment
19/01/2025,Bonus payment - 2024-2025,REF648976,21/01/2025,,3264.87,299899.5,Salary
23/01/2025,Contract payment - Design Work,REF765598,24/01/2025,4482.99,,295416.51,Salary
23/01/2025,Home contents insurance premium,REF119448,24/01/2025,176.62,,295239.89,Insurance-Home
26/01/2025,Monthly salary from ABC Corporation,REF442495,28/01/2025,,4359.22,299599.11,Salary
26/01/2025,Lunch payment - Subway,REF267837,28/01/2025,133.54,,299465.57,Dining
28/01/2025,Contract payment - Research Study,REF660278,29/01/2025,,6252.13,305717.7,Salary
29/01/2025,Health coverage renewal #POL97746,REF912616,31/01/2025,323.34,,305394.36,Insurance-Health
31/01/2025,Two-wheeler insurance for Suzuki Hayabusa,REF288561,1/2/2025,563.84,,304830.52,Insurance-Motor
4/2/2025,Stock purchase - V,REF489141,4/2/2025,3383.43,,301447.09,Investment
4/2/2025,Laboratory test charges - Medical Labs,REF742483,6/2/2025,118.31,,301328.78,Healthcare
4/2/2025,Auto insurance renewal - policy #POL97746,REF175310,4/2/2025,374.87,,300953.91,Insurance-Motor
6/2/2025,Bonus payment - 2024-2025,REF552185,6/2/2025,,6818.77,307772.68,Salary
8/2/2025,Dividend received from AXA,REF986683,10/2/2025,,354,308126.68,Investment-Dividend received from {company}
8/2/2025,Bond purchase - International,REF995516,9/2/2025,,580.93,308707.61,Investment
9/2/2025,Mutual fund investment - T Rowe Price Growth,REF154007,11/2/2025,2931,,305776.61,Investment
9/2/2025,Hospital bill payment - Regional Medical Center,REF452100,9/2/2025,499.6,,305277.01,Healthcare
10/2/2025,Stock purchase - AMZN,REF354698,12/2/2025,,410.83,305687.84,Investment-Dividend received from {company}
10/2/2025,Home contents insurance premium,REF630497,10/2/2025,379.25,,305308.59,Insurance-Home
11/2/2025,Annual renewal of life insurance with Allianz,REF853582,12/2/2025,590.85,,304717.74,Insurance-Life
12/2/2025,Monthly salary from ABC Corporation,REF902437,13/02/2025,,5456.77,310174.51,Salary
12/2/2025,Coffee and snacks at Costa Coffee,REF588407,12/2/2025,168,,310006.51,Dining
13/02/2025,Annual renewal of life insurance with Prudential,REF852241,15/02/2025,927.29,,309079.22,Insurance-Life
14/02/2025,Breakfast at Panera Bread,REF378587,14/02/2025,154.75,,308924.47,Dining
14/02/2025,Monthly salary from Tech Innovations,REF939238,14/02/2025,,6324.48,315248.95,Salary
16/02/2025,Mutual fund investment - PIMCO Income Fund,REF365185,17/02/2025,,2706.93,317955.88,Investment
18/02/2025,Commission payment,REF282741,20/02/2025,,6904.9,324860.78,Salary
18/02/2025,Bond purchase - International,REF801343,18/02/2025,2087.7,,322773.08,Investment
21/02/2025,Vehicle insurance payment for Oct-Dec 2024,REF689899,21/02/2025,218.33,,322554.75,Insurance-Motor
22/02/2025,Two-wheeler insurance for Harley Davidson,REF770378,24/02/2025,282.07,,322272.68,Insurance-Motor
22/02/2025,Cable TV subscription renewal,REF318821,24/02/2025,165.21,,322107.47,Bills
23/02/2025,Annual health insurance payment,REF203239,23/02/2025,334.69,,321772.78,Insurance-Health
24/02/2025,School supplies purchase,REF479206,26/02/2025,535.94,,321236.84,Education
25/02/2025,Bonus payment - H2 2024,REF202353,26/02/2025,,3944.44,325181.28,Salary
25/02/2025,Home insurance premium - property at 101 Maple Dr,REF366651,26/02/2025,297.96,,324883.32,Insurance-Home
25/02/2025,Monthly salary from Tech Innovations,REF380629,26/02/2025,,5981.4,330864.72,Salary
26/02/2025,Theme park entry fees,REF398257,28/02/2025,120.42,,330744.3,Entertainment
26/02/2025,Overtime payment,REF443522,27/02/2025,,6814.35,337558.65,Salary
26/02/2025,Car service and maintenance,REF325892,27/02/2025,109.47,,337449.18,Transportation
27/02/2025,Home contents insurance premium,REF535859,1/3/2025,307.07,,337142.11,Insurance-Home
28/02/2025,Auto insurance renewal - policy #POL15336,REF608708,2/3/2025,405.6,,336736.51,Insurance-Motor
2/3/2025,Travel insurance for Middle East trip,REF975893,4/3/2025,112.11,,336624.4,Insurance-Travel
5/3/2025,Overtime payment,REF603598,5/3/2025,,6862.12,343486.52,Salary
7/3/2025,Dividend received from Cigna,REF584532,9/3/2025,,402.41,343888.93,Investment-Dividend received from {company}
9/3/2025,Overtime payment,REF891189,10/3/2025,,6734.97,350623.9,Salary
9/3/2025,Term life insurance premium - policy #POL93015,REF378747,11/3/2025,615.16,,350008.74,Insurance-Life
10/3/2025,Health coverage renewal #POL64752,REF438641,11/3/2025,548.86,,349459.88,Insurance-Health
11/3/2025,Car service and maintenance,REF590877,11/3/2025,66.94,,349392.94,Transportation
12/3/2025,Dividend received from Liberty,REF224196,13/03/2025,,2027.52,351420.46,Investment
14/03/2025,Annual renewal of life insurance with Allianz,REF705048,15/03/2025,345.24,,351075.22,Insurance-Life
14/03/2025,Streaming service subscription - Lyft,REF373845,16/03/2025,114.59,,350960.63,Entertainment
14/03/2025,Bonus payment - Jan-Mar 2024,REF116389,16/03/2025,,2925.93,353886.56,Salary
15/03/2025,Auto insurance renewal - policy #POL13006,REF562895,16/03/2025,402.24,,353484.32,Insurance-Motor
16/03/2025,Contract payment - Training Program,REF717425,17/03/2025,,5130.22,358614.54,Salary
17/03/2025,Contract payment - Consulting Project,REF394034,19/03/2025,,4326.3,362940.84,Salary
17/03/2025,Gaming subscription renewal,REF827952,19/03/2025,51.22,,362889.62,Entertainment
17/03/2025,Theme park entry fees,REF917109,19/03/2025,134.64,,362754.98,Entertainment
19/03/2025,Commission payment,REF723575,19/03/2025,,5059.82,367814.8,Salary
20/03/2025,Commission payment,REF454419,20/03/2025,,6540.65,374355.45,Salary
22/03/2025,Bond purchase - Corporate,REF439478,24/03/2025,,1561.63,375917.08,Investment
22/03/2025,Home appliance - Laptop,REF561666,22/03/2025,398.51,,375518.57,Shopping
23/03/2025,Property insurance renewal,REF810075,25/03/2025,203.74,,375314.83,Insurance-Home
24/03/2025,Laboratory test charges - Sonic Healthcare,REF871287,24/03/2025,39.93,,375274.9,Healthcare
25/03/2025,Car insurance premium for Honda Civic,REF505305,27/03/2025,562.75,,374712.15,Insurance-Motor
25/03/2025,Breakfast at McDonald's,REF538922,27/03/2025,195.24,,374516.91,Dining
26/03/2025,Dividend received from Prudential,REF961647,26/03/2025,,2988.79,377505.7,Investment
27/03/2025,Car service and maintenance,REF808836,28/03/2025,20.19,,377485.51,Transportation
28/03/2025,Water utility bill - January,REF349546,30/03/2025,153.34,,377332.17,Bills
28/03/2025,Health coverage renewal #POL51302,REF724154,29/03/2025,775.18,,376556.99,Insurance-Health
29/03/2025,Fixed deposit creation,REF835528,29/03/2025,3970.8,,372586.19,Investment
30/03/2025,Sports event tickets - NBA Game,REF120496,1/4/2025,51.18,,372535.01,Entertainment
30/03/2025,Student loan repayment,REF587129,30/03/2025,484.46,,372050.55,Education
2/4/2025,Commission payment,REF522789,2/4/2025,,2719.05,374769.6,Salary
3/4/2025,Tuition fee payment - Business School,REF551229,4/4/2025,623.91,,374145.69,Education
3/4/2025,Car service and maintenance,REF497211,5/4/2025,135.21,,374010.48,Transportation
4/4/2025,Bonus payment - H1 2024,REF555053,4/4/2025,,4973.02,378983.5,Salary
5/4/2025,Overtime payment,REF443529,7/4/2025,,4407.56,383391.06,Salary
6/4/2025,Mutual fund investment - T Rowe Price Growth,REF312334,6/4/2025,,284.08,383675.14,Investment-Dividend received from {company}
6/4/2025,Overtime payment,REF687579,6/4/2025,6440.52,,377234.62,Salary
6/4/2025,Commercial vehicle insurance - Bus,REF231715,8/4/2025,515.14,,376719.48,Insurance-Motor
6/4/2025,Monthly salary from ABC Corporation,REF509247,7/4/2025,,4430.49,381149.97,Salary
8/4/2025,Commission payment,REF127423,8/4/2025,,3934.06,385084.03,Salary
8/4/2025,Fixed deposit creation,REF944951,10/4/2025,,62.76,385146.79,Investment-Dividend received from {company}
9/4/2025,Grocery shopping at Trader Joe's,REF897109,9/4/2025,113.25,,385033.54,Shopping
9/4/2025,Monthly salary from Global Solutions,REF452613,11/4/2025,,5820.72,390854.26,Salary
10/4/2025,Annual multi-trip insurance renewal,REF850294,11/4/2025,99.6,,390754.66,Insurance-Travel
13/04/2025,Concert tickets - Comedy Show,REF714510,15/04/2025,82.54,,390672.12,Entertainment
14/04/2025,Contract payment - Design Work,REF278505,16/04/2025,,4033.75,394705.87,Salary
15/04/2025,Bond purchase - International,REF750496,17/04/2025,2710.32,,391995.55,Investment
15/04/2025,Educational workshop fee - Project Management,REF877950,16/04/2025,695.45,,391300.1,Education
16/04/2025,Ride-sharing service - Grubhub,REF443203,16/04/2025,21.3,,391278.8,Transportation
16/04/2025,Home contents insurance premium,REF615896,18/04/2025,253.3,,391025.5,Insurance-Home
16/04/2025,Life coverage plan payment to Aviva,REF641931,17/04/2025,271.68,,390753.82,Insurance-Life
16/04/2025,Dividend received from Progressive,REF389962,17/04/2025,,1804.45,392558.27,Investment
17/04/2025,Dinner at TGI Fridays,REF398248,17/04/2025,169.06,,392389.21,Dining
17/04/2025,Gaming subscription renewal,REF628459,19/04/2025,111.98,,392277.23,Entertainment
17/04/2025,Overtime payment,REF919012,17/04/2025,,3553.09,395830.32,Salary
18/04/2025,Holiday insurance package,REF855896,19/04/2025,68.97,,395761.35,Insurance-Travel
20/04/2025,Monthly salary from National Services,REF278663,20/04/2025,,5513.04,401274.39,Salary
20/04/2025,Car insurance premium for Mazda 3,REF539127,21/04/2025,564.02,,400710.37,Insurance-Motor
21/04/2025,Pharmacy purchase at Rite Aid,REF628688,21/04/2025,335.98,,400374.39,Healthcare
21/04/2025,Commission payment,REF140034,21/04/2025,,4760.3,405134.69,Salary
21/04/2025,Business trip insurance coverage,REF246268,23/04/2025,134.89,,404999.8,Insurance-Travel
22/04/2025,Family health plan premium,REF860431,22/04/2025,640.13,,404359.67,Insurance-Health
22/04/2025,Auto insurance renewal - policy #POL77109,REF493623,22/04/2025,432.11,,403927.56,Insurance-Motor
23/04/2025,Stock purchase - JPM,REF119835,23/04/2025,,3139.29,407066.85,Investment
24/04/2025,Food delivery from Lyft,REF147281,26/04/2025,195.14,,406871.71,Dining
24/04/2025,Tuition fee payment - Community College,REF437481,25/04/2025,877.3,,405994.41,Education
25/04/2025,Monthly salary from National Services,REF888784,27/04/2025,4408.84,,401585.57,Salary
25/04/2025,Monthly salary from Global Solutions,REF254814,27/04/2025,,7076.43,408662,Salary
26/04/2025,Breakfast at Chipotle,REF650549,26/04/2025,131.06,,408530.94,Dining
26/04/2025,Mutual fund investment - Fidelity 500 Index,REF191773,26/04/2025,,4815.83,413346.77,Investment
26/04/2025,Student loan repayment,REF104267,28/04/2025,630.38,,412716.39,Education
26/04/2025,Lunch payment - McDonald's,REF903906,27/04/2025,149.43,,412566.96,Dining
27/04/2025,Bonus payment - Jul-Sep 2024,REF279619,28/04/2025,7333.94,,405233.02,Salary
28/04/2025,Monthly salary from United Enterprises,REF272261,29/04/2025,,6902.09,412135.11,Salary
28/04/2025,Auto insurance renewal - policy #POL24410,REF987577,28/04/2025,409.54,,411725.57,Insurance-Motor
30/04/2025,Home insurance premium - property at 303 Elm Blvd,REF597890,2/5/2025,121.08,,411604.49,Insurance-Home
30/04/2025,Highway toll payment,REF767601,30/04/2025,72.28,,411532.21,Transportation
